																															Class	blank	blank	blank	blank	blank	qcpool	qcpool	qcpool	qcpool	qcpool	qcpool	qcpool	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	NA	NA	NA	NA	NA	NA
																															File type	Blank	Blank	Blank	Blank	Blank	QC	QC	QC	QC	QC	QC	QC	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	NA	NA	NA	NA	NA	NA
																															Injection order	1	2	3	71	72	4	15	26	37	48	59	70	5	6	7	8	9	10	11	12	13	14	16	17	18	19	20	21	22	23	24	25	27	28	29	30	31	32	33	34	35	36	38	39	40	41	42	43	44	45	46	47	49	50	51	52	53	54	55	56	57	58	60	61	62	63	64	65	66	67	68	69	NA	NA	NA	NA	NA	NA
																															Batch ID	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Average	Average	Average	Stdev	Stdev	Stdev
Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	Comment	Manually modified for quantification	Manually modified for annotation	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	Blank_001	Blank_002	Blank_003	Blank_071	Blank_072	QCpool_004	QCpool_015	QCpool_026	QCpool_037	QCpool_048	QCpool_059	QCpool_070	Sample_CPM001_005	Sample_CPM002_006	Sample_CPM003_007	Sample_CPM004_008	Sample_CPM005_009	Sample_CPM006_010	Sample_CPM007_011	Sample_CPM008_012	Sample_CPM009_013	Sample_CPM010_014	Sample_CPM011_016	Sample_CPM013_017	Sample_CPM014_018	Sample_CPM015_019	Sample_CPM016_020	Sample_CPM017_021	Sample_CPM018_022	Sample_CPM019_023	Sample_CPM020_024	Sample_CPM021_025	Sample_CPM022_027	Sample_CPM023_028	Sample_CPM024_029	Sample_CPM025_030	Sample_CPM026_031	Sample_CPM027_032	Sample_CPM028_033	Sample_CPM029_034	Sample_CPM030_035	Sample_CPM032_036	Sample_CPM033_038	Sample_CPM034_039	Sample_CPM035_040	Sample_CPM037_041	Sample_CPM038_042	Sample_CPM039_043	Sample_CPM040_044	Sample_CPM041_045	Sample_CPM042_046	Sample_CPM043_047	Sample_CPM044_049	Sample_CPM045_050	Sample_CPM046_051	Sample_CPM048_052	Sample_CPM049_053	Sample_CPM050_054	Sample_CPM051_055	Sample_CPM052_056	Sample_CPM053_057	Sample_CPM054_058	Sample_CPM055_060	Sample_CPM056_061	Sample_CPM057_062	Sample_CPM058_063	Sample_CPM059_064	Sample_CPM060_065	Sample_CPM061_066	Sample_CPM062_067	Sample_CPM063_068	Sample_CPM064_069	blank	qcpool	sample	blank	qcpool	sample
0	9.274	100.93407	Unknown	[M-H]-		0.125	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	7.44	QCpool_004	100.93407:72462 101.93742:9338 102.94078:3243		1177316	2090135	1443350	137636	283576	2090545	1101317	371494	833960	677860	650720	260213	290253	635997	377378	1586176	323912	369642	210486	130993	248920	281016	367493	146421	173836	287395	303719	125810	317529	517266	195563	179951	1239416	108835	140500	92090	1270160	133570	117797	198657	318231	578340	82688	175442	215707	87142	214020	164244	684554	85761	79235	75790	151218	212821	186990	127613	71853	480296	542571	540591	164225	106635	458775	171145	88342	714123	143512	191101	674251	445692	194855	320299	1026402.703125	855158.332589286	318647.354817708	816982.693203878	612147.118049476	298383.781803158
1	6.528	100.93421	Unknown	[M-H]-	similar chromatogram in higher mz_530; similar chromatogram in higher mz_601; similar chromatogram in higher mz_840; similar chromatogram in higher mz_957; similar chromatogram in higher mz_1157; similar chromatogram in higher mz_1203; similar chromatogram in higher mz_634; similar chromatogram in higher mz_352; similar chromatogram in higher mz_93; similar chromatogram in higher mz_190; similar chromatogram in higher mz_5; similar chromatogram in higher mz_325; similar chromatogram in higher mz_289	0.847	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	5.52	QCpool_004	100.93421:19476 101.93756:1944 102.94092:774		152712	130001	316290	32128	40637	195975	80836	69976	55908	60762	59447	46139	195126	178187	166777	154774	158297	98572	94946	69234	113277	81382	105932	56840	71896	69403	49724	60729	58396	78491	66875	68535	86078	59843	53800	57801	82770	55992	61598	69066	72013	68276	63796	60579	63350	39147	54621	53716	75556	31217	33212	27805	43822	67841	56608	54229	20722	57630	56903	63652	42599	37316	48472	25823	46392	54469	27465	33639	58708	40025	38227	65656	134353.6640625	81291.8130580357	68463.7361328125	114770.912959481	51735.0679306982	36552.242618523
2	6.521	112.98517	Unknown	[M-H]-	found in higher mz's MsMs_1304	0.708	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	8.63	Sample_CPM052_056	112.98517:20846 113.98852:383 114.99188:138		95377	118246	77074	136440	129396	131431	133523	143749	128685	142336	140559	142406	105235	116857	175866	197004	248889	86328	64538	31800	212184	136046	213950	90842	136016	134299	90972	78982	123543	180197	142217	151509	243981	148114	56171	122743	241343	145964	145188	146407	171983	261718	137396	114057	181807	62370	125884	91731	254008	56292	30477	16098	82732	166390	139502	122235	25802	94566	137838	296585	51255	76337	125508	19072	94118	298161	144870	43370	178770	89443	118610	298298	111306.55625	137527.053571429	134574.410693359	24661.1174342384	6139.98783377177	71004.0767628132
3	9.875	112.98592	Unknown	[M-H]-	similar chromatogram in higher mz_9	0.861	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	38.89	Sample_CPM053_057	112.98592:126979 113.98927:3364 114.99263:1081		772064	134625	152717	156717	127284	2003752	2099408	1872699	1835844	2193776	2109014	2008303	3052128	2601530	3129446	2156183	1756459	1844402	2179563	2562457	1324386	2534972	3454798	3662788	1197896	3884502	3973712	2931584	2318356	1633056	2616314	649166	1596414	588876	2031598	2583122	1396860	1415880	1426561	1435005	2672594	1026980	2387028	2179723	3584160	2856586	3119751	2187056	1519653	2533370	2879128	2731822	1947807	3043870	3230862	3859477	2234738	2917276	3860163	926936	3514158	3016626	2930288	1127620	2345685	306218	98770	5778040	3037399	3634717	2931623	2054810	268681.565625	2017542.35714286	2406882.54635417	281665.802628446	129355.479512841	1042305.59219089
4	0.807	132.86717	Unknown	[M-H]-		0.778	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	31.95	QCpool_026	132.86717:14393 133.87052:18 134.87388:16597		67648	18549	64243	109289	57039	313091	394224	428663	156910	155061	245784	138190	211749	184374	187926	183786	157632	198745	166199	219675	228320	258082	168802	217403	262721	251425	224623	234231	208865	164836	238981	157611	218885	305629	181668	204753	171524	154148	195519	191241	177377	277185	332535	314397	359902	289509	341296	268325	222026	339385	281306	313029	206438	362401	282474	236657	320361	241602	226671	20506	215346	244182	278832	384100	12898	166316	52736	242324	265670	278976	273370	84187	63353.557421875	261703.008928571	227694.52586263	32313.484732369	119680.903780191	76026.6842163151
5	6.533	139.00662	Unknown	[M-H]-	similar chromatogram in higher mz_11; similar chromatogram in higher mz_389; similar chromatogram in higher mz_409	0.847	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	19.22	Sample_CPM064_069	139.00662:4090 140.00997:58 141.01333:292		6005	3350	2819	5753	2915	17869	16655	16176	21612	15158	15449	18510	14473	14810	20063	24086	28434	14337	11515	7644	28982	19830	26627	11439	18856	19830	12280	17499	16559	17098	22093	17478	29012	22735	11881	14294	30074	13556	23019	14963	20819	27165	24614	18502	29655	8117	21871	11763	29070	10029	9681	6355	8460	19591	27665	15418	5959	16329	21889	24743	15523	14767	13593	9755	10980	17390	2953	9162	21981	11347	12299	32498	4168.26088867188	17347.0997488839	17556.7879557292	1577.14245030007	2238.30505525651	7123.7415432914
