																															Class	blank	blank	blank	blank	blank	qcpool	qcpool	qcpool	qcpool	qcpool	qcpool	qcpool	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	sample	NA	NA	NA	NA	NA	NA
																															File type	Blank	Blank	Blank	Blank	Blank	QC	QC	QC	QC	QC	QC	QC	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	NA	NA	NA	NA	NA	NA
																															Injection order	1	2	3	71	72	4	15	26	37	48	59	70	5	6	7	8	9	10	11	12	13	14	16	17	18	19	20	21	22	23	24	25	27	28	29	30	31	32	33	34	35	36	38	39	40	41	42	43	44	45	46	47	49	50	51	52	53	54	55	56	57	58	60	61	62	63	64	65	66	67	68	69	NA	NA	NA	NA	NA	NA
																															Batch ID	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Average	Average	Average	Stdev	Stdev	Stdev
Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	Comment	Manually modified for quantification	Manually modified for annotation	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	Blank_001	Blank_002	Blank_003	Blank_071	Blank_072	QCpool_004	QCpool_015	QCpool_026	QCpool_037	QCpool_048	QCpool_059	QCpool_070	Sample_CPM001_005	Sample_CPM002_006	Sample_CPM003_007	Sample_CPM004_008	Sample_CPM005_009	Sample_CPM006_010	Sample_CPM007_011	Sample_CPM008_012	Sample_CPM009_013	Sample_CPM010_014	Sample_CPM011_016	Sample_CPM013_017	Sample_CPM014_018	Sample_CPM015_019	Sample_CPM016_020	Sample_CPM017_021	Sample_CPM018_022	Sample_CPM019_023	Sample_CPM020_024	Sample_CPM021_025	Sample_CPM022_027	Sample_CPM023_028	Sample_CPM024_029	Sample_CPM025_030	Sample_CPM026_031	Sample_CPM027_032	Sample_CPM028_033	Sample_CPM029_034	Sample_CPM030_035	Sample_CPM032_036	Sample_CPM033_038	Sample_CPM034_039	Sample_CPM035_040	Sample_CPM037_041	Sample_CPM038_042	Sample_CPM039_043	Sample_CPM040_044	Sample_CPM041_045	Sample_CPM042_046	Sample_CPM043_047	Sample_CPM044_049	Sample_CPM045_050	Sample_CPM046_051	Sample_CPM048_052	Sample_CPM049_053	Sample_CPM050_054	Sample_CPM051_055	Sample_CPM052_056	Sample_CPM053_057	Sample_CPM054_058	Sample_CPM055_060	Sample_CPM056_061	Sample_CPM057_062	Sample_CPM058_063	Sample_CPM059_064	Sample_CPM060_065	Sample_CPM061_066	Sample_CPM062_067	Sample_CPM063_068	Sample_CPM064_069	blank	qcpool	sample	blank	qcpool	sample
0	3.78	104.10456	Unknown	[M+H]+	found in higher mz's MsMs_869; similar chromatogram in higher mz_226; found in higher mz's MsMs_966; similar chromatogram in higher mz_1137; similar chromatogram in higher mz_299; similar chromatogram in higher mz_862; found in higher mz's MsMs_918	0.903	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	75.43	Sample_CPM041_045	104.10456:24722 105.10791:2826 106.11127:0		168	553	189	341	660	31917	34390	36680	40066	39479	37692	42443	131023	108464	184247	174941	14671	211316	149931	71896	13036	48746	106905	207681	149170	131494	207243	92813	153134	177305	99843	96529	35258	63780	184809	104723	171911	179220	137575	176501	129974	63499	58603	103180	48731	169226	185054	132956	37354	215961	154956	201267	189544	70367	86783	150290	154331	174416	129425	13777	104666	56992	78660	65982	95179	22336	422	108462	93389	91835	84982	15875	382.191903686523	37523.7971540179	114544.021851095	218.76577206271	3570.27160339473	59192.0305384563
1	2.841	104.10574	Unknown	[M+H]+	found in higher mz's MsMs_799; found in higher mz's MsMs_889; similar chromatogram in higher mz_556; similar chromatogram in higher mz_744; similar chromatogram in higher mz_793; found in higher mz's MsMs_1040; found in higher mz's MsMs_845	0.847	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	65.18	Sample_CPM024_029	104.10574:19485 105.10909:0 106.11245:0		337	304	209	682	388	25119	34695	35540	38123	27357	34846	37144	133560	104459	170936	142014	14490	135392	158498	78567	17539	55591	76912	170677	116489	141772	193618	56750	160532	162371	134372	94655	34753	53838	164998	111813	135697	162707	106179	162693	100704	57334	56634	120146	53901	162624	153438	149335	27251	173410	142465	164089	180111	42024	105632	151473	159516	177355	98927	11218	95867	58662	49716	55521	89512	24571	428	110801	82723	78470	112329	13100	384.008996582031	33260.5345982143	105185.973925273	179.201288698469	4993.82549888652	53179.2240440771
2	2.549	107.04768	Unknown	[M+H]+	ion correlated with 57; ion correlated with 280; found in higher mz's MsMs_322; similar chromatogram in higher mz_1242	0.875	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	51.97	Sample_CPM038_042	107.04768:55838 108.05103:5269 109.05439:305		147	185	616	504	311	38186	35594	33911	30611	28198	26366	27411	200083	65184	66010	79539	9886	114700	37688	23811	11224	113631	104272	67960	24793	62896	43588	21941	24185	112743	76199	83608	29875	78359	118646	77481	107568	99833	29680	98062	13551	48910	113976	187520	173909	347940	394415	245617	126564	235279	173180	222645	207196	117845	169155	188852	171800	129249	111812	25745	132680	74223	39639	48783	368931	52340	1424	161449	67522	121361	242409	27159	352.510049438477	31468.1381138393	112108.756703695	202.956548426324	4509.92164037537	88004.3096695666
3	2.621	111.11576	Unknown	[M+H]+	found in higher mz's MsMs_310; similar chromatogram in higher mz_1083; similar chromatogram in higher mz_677; similar chromatogram in higher mz_961; similar chromatogram in higher mz_870	0.931	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	114.66	Sample_CPM026_031	111.11576:81507 112.11911:8899 113.12247:3118		5708	182	6644	144	225	93269	89172	80217	74521	73535	68658	66123	188098	132331	506914	464280	58958	503791	247436	116501	34611	327807	184337	451197	158826	431942	384481	238693	376508	348080	449529	161646	44363	166203	394222	282756	610940	424488	184332	254842	52935	396818	157755	201044	95318	383022	368057	248269	192856	328898	165449	322182	251897	123047	163728	219484	211717	139891	176267	98398	188616	98252	67940	53241	470212	192108	18318	193291	108768	170182	313760	116291	2580.42226257324	77927.6361607143	240268.606705729	3298.74914738499	10191.5945839417	141413.345775932
4	4.12	111.11609	Unknown	[M+H]+	ion correlated with 58; ion correlated with 17; ion correlated with 39; ion correlated with 74; ion correlated with 99; similar chromatogram in higher mz_464; similar chromatogram in higher mz_385; found in higher mz's MsMs_338; similar chromatogram in higher mz_39; similar chromatogram in higher mz_58; similar chromatogram in higher mz_17; similar chromatogram in higher mz_74; similar chromatogram in higher mz_99	0.833	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	17.97	Sample_CPM038_042	111.11609:34517 112.11944:6768 113.1228:11606		749	929	692	259	318	21698	17785	16204	13323	12153	13255	11791	112673	40442	42845	48011	3765	52052	25037	13798	5207	58707	42399	34597	18851	35425	19768	14561	15645	45040	38272	54157	12590	42129	65494	46348	57871	44276	11248	41197	7227	23330	51381	101353	68165	169889	218913	136669	44473	121074	70508	128230	108405	45897	81968	97734	86704	67563	61296	6045	68531	33486	19582	21722	179116	30674	617	80335	28425	57575	115356	12640	589.433624267578	15172.7543247768	56454.7997629801	288.864251108185	3608.35411886683	45669.3542910486
5	5.4	113.13133	Unknown	[M+H]+	similar chromatogram in higher mz_757; found in higher mz's MsMs_757	0.917	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	4699.69	Sample_CPM029_034	113.13133:1627340 114.13468:187938 115.13804:2078		4015	17879	5208	1749	5192	1528200	1350467	1277283	1218316	1122845	1121088	1063560	7366368	3305629	9209675	8436839	694608	11016398	4893520	2188112	486100	3135637	4075286	7831338	4514732	7488694	6843958	4066578	4026359	10669020	4992198	2559568	602815	2820426	4790850	4549046	9611675	17173374	3596299	12377949	2086334	5038524	1744510	4362467	2078650	8423251	7257291	4389658	3452258	4133487	3785111	5031394	6747937	1668295	4805374	5505641	3849004	4651323	3890659	1055685	3826743	2061616	1529047	1451267	8052619	1524857	6513	4477769	1851036	3582411	3957541	1503931	6808.71499023438	1240251.25	4685087.59848633	6346.93343703825	161306.143089068	3232196.21231754
